Time,X,Y,InOpen,InClosed
0,1.14173,4.75621,0,0
0.04,0.472169,1.56577,0,0
0.08,-0.0425229,-0.867783,0,0
0.12,-0.41912,-2.45792,0,0
0.16,-0.605377,-3.37769,0,0
0.2,-0.630659,-3.7902,0,0
0.24,-0.574413,-3.81656,0,0
0.28,-0.484258,-3.62445,0,0
0.32,-0.371484,-3.34067,0,0
0.36,-0.272386,-3.11363,0,0
0.4,-0.189247,-2.92541,0,0
0.44,-0.0592514,-2.93231,0,0
0.48,-0.129006,-2.94231,0,0
0.52,-0.127387,-2.93402,0,0
0.56,-0.24926,-3.08736,0,0
0.6,-0.394627,-3.18079,0,0
0.64,-0.48357,-3.24767,0,0
0.68,-0.541487,-3.3077,0,0
0.72,-0.598181,-3.36825,0,0
0.76,-0.635491,-3.41482,0,0
0.8,-0.662428,-3.45391,0,0
0.84,-0.665621,-3.47445,0,0
0.88,-0.662627,-3.48256,0,0
0.92,-0.652767,-3.4998,0,0
0.96,-0.633887,-3.48938,0,0
1,-0.64498,-3.48466,0,0
1.04,-0.635882,-3.4889,0,0
1.08,-0.582135,-3.50189,0,0
1.12,-0.55642,-3.49951,0,0
1.16,-0.51054,-3.51757,0,0
1.2,-0.45619,-3.54248,0,0
1.24,-0.423835,-3.58858,0,0
1.28,-0.39452,-3.64302,0,0
1.32,-0.379622,-3.68421,0,0
1.36,-0.362494,-3.74979,0,0
1.4,-0.348163,-3.77953,0,0
1.44,-0.350472,-3.7831,0,0
1.48,-0.343188,-3.79365,0,0
1.52,-0.319416,-3.85349,0,0
1.56,-0.315014,-3.86855,0,0
1.6,-0.29998,-3.92997,0,0
1.64,-0.291322,-3.97826,0,0
1.68,-0.285571,-4.04698,0,0
1.72,-0.290152,-4.10538,0,0
1.76,-0.293668,-4.13776,0,0
1.8,-0.317163,-4.2023,0,0
1.84,-0.372764,-4.28003,0,0
1.88,-0.438993,-4.32381,0,0
1.92,-0.53501,-4.2033,0,0
1.96,-0.62818,-4.08988,0,0
2,-0.689634,-4.0248,0,0
2.04,-0.733786,-3.96369,0,0
2.08,-0.777169,-3.95704,0,0
2.12,-0.791545,-3.94334,0,0
2.16,-0.785024,-3.95516,0,0
2.2,-0.772441,-3.98684,0,0
2.24,-0.763583,-4.01345,0,0
2.28,-0.749363,-4.04616,0,0
2.32,-0.747926,-4.10695,0,0
2.36,-0.71424,-4.15824,0,0
2.4,-0.704711,-4.18732,0,0
2.44,-0.697744,-4.21266,0,0
2.48,-0.706122,-4.23439,0,0
